   n     m     l    s1    s2           M^2           <N>      <Lz>       <S>      <Sz>     <P+J>       <C>
   0     0     0    -1     1  0.5430585846          1.0000    0.0000   -0.0000    0.0000   -1.0000    1.0000
   0     0     0     1    -1  0.5939147546          1.0000    0.0000    1.0000    0.0000    1.0000   -1.0000
   0     0     1     1    -1   1.685209587          1.0000    0.0000    1.0000    0.0000    1.0000    1.0000
   0     0     1     1    -1   1.716743407          1.0000    0.0000    0.0000    0.0000   -1.0000   -1.0000
