   0     1     0    -1    -1      0.30273809          0.79896143E-15      0.60388328         -0.57134178         -0.11615806E-16      0.23688505          0.26841934E-01     -0.28031334E-16      0.11421687E-14     -0.93995214E-15 
   0     1     1    -1    -1     -0.22359668E-15     -0.30430784E-01     -0.47027715E-15      0.61280076E-15      0.21843542         -0.38284031E-15      0.45490558E-14      0.24878528          0.61240789         -0.62612217     
   1     1     0    -1    -1     -0.16097090         -0.40909349E-15     -0.28387281          0.23793570          0.65575242E-16     -0.43649803E-01      0.94253316E-01     -0.16099962E-14      0.57544258E-15     -0.42505461E-15 
   1     1     1    -1    -1      0.15722841E-15      0.21691906E-01      0.40305958E-15     -0.46236149E-15     -0.10920097          0.22504198E-15     -0.14962883E-14     -0.79992858E-01     -0.23568068          0.22071334     
   0     0     0    -1     1      0.57782738         -0.65978349          0.18607812E-14      0.31361642          0.30848040E-15      0.18278526E-15      0.26013156          0.22172806         -0.12452205          0.19084647E-14 
   0     0     1    -1     1     -0.49284537E-15      0.73633999E-15      0.21965691         -0.35472617E-15      0.63278525         -0.63210306          0.46529727E-15      0.26875114E-15      0.29748455E-14      0.22450369     
   1     0     0    -1     1     -0.22034867          0.25157340         -0.89613640E-15     -0.13638152         -0.11330471E-15      0.11321801E-14      0.65017489          0.61850117         -0.23217548          0.35145667E-14 
   1     0     1    -1     1      0.31012324E-15     -0.22457296E-15     -0.80573258E-01      0.18105752E-15     -0.19985980          0.20597547         -0.36259065E-15     -0.16116297E-15     -0.11970853E-14     -0.94099670E-01 
   0     0     0     1    -1     -0.57782738         -0.65978349          0.74014987E-15     -0.31361642         -0.31255061E-15     -0.40398495E-15     -0.26013156          0.22172806         -0.12452205          0.11764114E-14 
   0     0     1     1    -1      0.62633949E-16      0.36520942E-15      0.21965691         -0.38773548E-15     -0.63278525         -0.63210306          0.12520790E-14     -0.69896256E-15     -0.40711908E-14     -0.22450369     
   1     0     0     1    -1      0.22034867          0.25157340         -0.68673300E-16      0.13638152         -0.25034787E-15     -0.10661482E-14     -0.65017489          0.61850117         -0.23217548          0.21788297E-14 
   1     0     1     1    -1     -0.32567488E-16     -0.14492314E-15     -0.80573258E-01      0.13119270E-15      0.19985980          0.20597547         -0.52732249E-15      0.95243478E-16      0.16411745E-14      0.94099670E-01 
   0    -1     0     1     1      0.30273809         -0.12151088E-14     -0.60388328         -0.57134178          0.12321749E-14     -0.23688505          0.26841934E-01     -0.12785987E-14     -0.14364202E-14     -0.17511301E-14 
   0    -1     1     1     1     -0.35099601E-15      0.30430784E-01      0.69979519E-15      0.83866118E-15      0.21843542          0.14731175E-14     -0.36255518E-14     -0.24878528         -0.61240789         -0.62612217     
   1    -1     0     1     1     -0.16097090          0.77510340E-15      0.28387281          0.23793570          0.45201419E-15      0.43649803E-01      0.94253316E-01     -0.20904324E-14     -0.92746687E-15     -0.13214405E-14 
   1    -1     1     1     1      0.22890007E-15     -0.21691906E-01     -0.44302360E-15     -0.50662233E-15     -0.10920097         -0.66189758E-15      0.11056732E-14      0.79992858E-01      0.23568068          0.22071334     
