   n     m     l    s1    s2           M^2           <N>      <Lz>       <S>      <Sz>     <P+J>       <C>
   0     0     0     1    -1  0.3690159099          1.5330   -0.0000    0.3487    0.0000   -1.0000    1.0000
   0     0     0     1    -1  0.5757073251          1.2578   -0.0000    1.0000    0.0000    1.0000   -1.0000
   0     1     0    -1    -1  0.7377584655          2.2388    0.0000    1.0000   -0.0000    1.0000    1.0000
   0     1     0    -1    -1  0.9766080661          2.0669    0.0000    0.8350   -0.0000   -1.0000    1.0000
   0     0     1    -1     1   1.496107031          1.3268   -0.0000    0.1990    0.0000   -1.0000   -1.0000
   0     0     1     1    -1   1.618943671          1.2934    0.0000    1.0000   -0.0000    1.0000    1.0000
   1     0     0    -1     1   1.929045617          2.7457   -0.0000    0.0370    0.0000   -1.0000    1.0000
   1     0     0     1    -1   1.935685397          2.6924   -0.0000    1.0000    0.0000    1.0000   -1.0000
   0    -1     1     1     1   2.055108756          2.2990   -0.0000    1.0000    0.0000    1.0000   -1.0000
   0     1     1    -1    -1   2.106229240          2.1118    0.0000    0.9188   -0.0000   -1.0000   -1.0000
